region,survey,site,site_id,easting,northing,year,land_use,land_use_sub,loc_id,core_id,z,d,rho_fe,rho_c,f_c,s_fei,S_fez,s_ci,S_cz,i,time
sc,Jena_1,Edinburgh,EB,330352.350776889,672208.536830122,2004,grass,improved pasture,EB_13,EB_2004_13,0.05,0.05,838.529481,36.6,0.0436478392582598,41.92647405,41.92647405,1.83,1.83,1,0
sc,Jena_1,Edinburgh,EB,330352.350776889,672208.536830122,2004,grass,improved pasture,EB_13,EB_2004_13,0.1,0.05,1222.1658022,34.5012395,0.0282295899933503,61.10829011,103.03476416,1.725061975,3.555061975,2,0
sc,Jena_1,Edinburgh,EB,330352.350776889,672208.536830122,2004,grass,improved pasture,EB_13,EB_2004_13,0.2,0.1,1347.353099,27.44369634,0.0203686000057213,134.7353099,237.77007406,2.744369634,6.299431609,3,0
sc,Jena_1,Edinburgh,EB,330352.350776889,672208.536830122,2004,grass,improved pasture,EB_13,EB_2004_13,0.3,0.1,1087.171438,21.99582647,0.0202321599898396,108.7171438,346.48721786,2.199582647,8.499014256,4,0
sc,Jena_1,Edinburgh,EB,330352.350776889,672208.536830122,2004,grass,improved pasture,EB_13,EB_2004_13,0.4,0.1,1430.031891,8.96917432,0.00627200999953084,143.0031891,489.49040696,0.896917432,9.395931688,5,0
sc,Jena_1,Edinburgh,EB,330352.350776889,672208.536830122,2004,grass,improved pasture,EB_13,EB_2004_13,0.5,0.1,1516.865649,5.57618015,0.00367612000026246,151.6865649,641.17697186,0.557618015,9.953549703,6,0
sc,Jena_1,Edinburgh,EB,330352.350776889,672208.536830122,2004,grass,improved pasture,EB_13,EB_2004_13,0.6,0.1,1461.505343,11.6508283,0.00797180000456557,146.1505343,787.32750616,1.16508283,11.118632533,7,0
sc,Jena_1,Edinburgh,EB,330346.083835008,672200.931735077,2004,grass,improved pasture,EB_14,EB_2004_14,0.05,0.05,844.518016,35.8,0.0423910435559021,42.2259008,42.2259008,1.79,1.79,1,0
sc,Jena_1,Edinburgh,EB,330346.083835008,672200.931735077,2004,grass,improved pasture,EB_14,EB_2004_14,0.1,0.05,1207.4636122,28.2205256,0.0233717399968536,60.37318061,102.59908141,1.41102628,3.20102628,2,0
sc,Jena_1,Edinburgh,EB,330346.083835008,672200.931735077,2004,grass,improved pasture,EB_14,EB_2004_14,0.2,0.1,1347.723177,27.01722702,0.0200465700086421,134.7723177,237.37139911,2.701722702,5.902748982,3,0
sc,Jena_1,Edinburgh,EB,330346.083835008,672200.931735077,2004,grass,improved pasture,EB_14,EB_2004_14,0.3,0.1,1512.777969,25.22023253,0.0166714700020859,151.2777969,388.64919601,2.522023253,8.424772235,4,0
sc,Jena_1,Edinburgh,EB,330346.083835008,672200.931735077,2004,grass,improved pasture,EB_14,EB_2004_14,0.4,0.1,1611.790658,15.17410645,0.00941444000477635,161.1790658,549.82826181,1.517410645,9.94218288,5,0
sc,Jena_1,Edinburgh,EB,330346.083835008,672200.931735077,2004,grass,improved pasture,EB_14,EB_2004_14,0.5,0.1,1553.251046,9.92322389,0.00638867999835231,155.3251046,705.15336641,0.992322389,10.934505269,6,0
sc,Jena_1,Edinburgh,EB,330346.083835008,672200.931735077,2004,grass,improved pasture,EB_14,EB_2004_14,0.6,0.1,1354.990164,7.06245263,0.00521217999778779,135.4990164,840.65238281,0.706245263,11.640750532,7,0
sc,Jena_1,Edinburgh,EB,330339.754078812,672193.187535792,2004,grass,improved pasture,EB_15,EB_2004_15,0.05,0.05,810.6390564,36.4,0.0449028451227729,40.53195282,40.53195282,1.82,1.82,1,0
sc,Jena_1,Edinburgh,EB,330339.754078812,672193.187535792,2004,grass,improved pasture,EB_15,EB_2004_15,0.1,0.05,1288.4434092,34.73365128,0.0269578400044487,64.42217046,104.95412328,1.736682564,3.556682564,2,0
sc,Jena_1,Edinburgh,EB,330339.754078812,672193.187535792,2004,grass,improved pasture,EB_15,EB_2004_15,0.2,0.1,1412.470007,28.11135945,0.0199022700026791,141.2470007,246.20112398,2.811135945,6.367818509,3,0
sc,Jena_1,Edinburgh,EB,330339.754078812,672193.187535792,2004,grass,improved pasture,EB_15,EB_2004_15,0.3,0.1,1417.348308,28.3505804,0.0200025500012803,141.7348308,387.93595478,2.83505804,9.202876549,4,0
